Country,Price of mobile data and voice basket (HC)  (PPP),Price of mobile data and voice basket (LC) (PPP),Price of cheapest smartphone (PPP$),Price of fixed broadband internet (PPP),Median Mobile Download Speeds (Mbps),Median Fixed Broadband Download Speed (Mbps),Number of Internet Users (absolute numbers),Mobile Cellular Subscriptions in millions (absolute numbers),Population covered by LTE (Absolute numbers),Number of smartphone users (million),"Gender gap - Number of women that need to use the internet (or stop using the internet, if negative) to achieve parity in internet penetration rate",Number of internet users (16-64 years) using social media for work related activities,Number of users of digital food delivery platforms (millions),Number of users of digital health applications,Number of e-commerce users,Consumer Spend on Mobile Apps (millions USD),Number of video on demand users,Fixed-broadband Internet traffic (EB),Mobile broadband internet traffic (EB),Value of digital payment transactions (millions of dollars),Users of Digital Payments (in millions),"Number of people who received public sector wages (% of public sector wage recipients, age 15 +) per 1000 adults",Number of mobile money and internet banking transactions per 1000 adults,Number of mobile money and internet banking transactions,ICT Services Export  (million USD),"Total digitally delivered services (million USD)",IT market Capitalisation in USD,Employment: ICT sector (thousands),Employment: ICT services (thousands),Number of Start-ups,Valuation of Unicorns (Millions of USD),Total funding till date of Startups having their Head Quarters or atleast one office location in India (Millions of USD),Consumer and Industrial IoT revenues (millions of USD),AR/ VR revenues (millions of USD),Metaverse revenue (millions of USD),DeFi revenue (millions of USD),Robotics revenue (millions of USD),Drones revenue (millions of USD),Crypto Index Score,Cybersecurity revenue (Mn USD),Number of Secure servers,Ransomware attacks 30 day average,Ransomware victims,Total number of email leaks (Quarterly average) (2022 Q3 - 2025 Q3),E-waste generated (million kg),Number of energy and digital startups,VC investments in AI and environmental sustainability by country (USD million),Patents filed (2000-2024) in Smart Grids,Patents filed (2000-2024) in Information/Communication Technologies for Electromobility  https://irena.sharepoint.com/:x:/s/statistics-public/IQA9pfQVFizORLB-JmQZ6qZeAaVN67p9zCW8IGFluuD0Eew?rtime=LA9v10ze3kg,"Net electricity production from Renewables (Hydro, Geo, Solar, Wind, Other) (GWh)",Total renewable energy production (GWh),AAL by Climate (Million USD) for the Telecom Sector- Existing Climate,,,,,Count,,,Number of AI users,Compute capacity,Open Data Score,AI Infrastructure,AI Infrastructure,Compute Capacity (Rmax) in Millions,Apps and Platforms,Development: Open Source models score,Relative AI Skill Penetration,AI Talent Pillar Score,Total AI Private Investment in Millions,Newly Funded AI Companies,AI commercial,AI Innovation - Research,AI Research and Development- score,Safety and security,Responsible AI - Conference Submissions on RAI Topics (Total),Public trust score
Algeria,24.00,24.00,272.00,38.00,51,54.00,"37,528,264","54,100,000","42,329.50","26,653,473.00","3,979,151",-,7.30,4.60,11.40,-,28.50,15.90,5.90,-,-,-,-,-,79.00,"2,226.9",-,-,-,"1,150.00",-,992.00,688.04,44.10,104.30,-,14.24,2.20,5.40,135.00,"261,552",400.00,4.00,"67,853.00",333.00,0.00,-,1.00,20.17,-,926,81,,Algeria,14.32,,,,,5617717,5.8,28,43,14,-,52,0.00,-,2,-,-,0,1,-,33,-,59
Argentina,19.00,19.00,244.00,149.00,60,112.00,"40,623,069","64,100,000","44,636.01","33,112,749.00","143,296","11,974,428.00",25.30,10.60,27.10,"25,489.36",27.30,-,2.30,"130,390.00",25.84,-,"58,005.73","2,650,639,119.00","2,781.00","9,086.2","1,027.00",332.67,18.88,"11,300.00","2,800.00","22,300.00","1,365.45",272.57,923.70,188.90,156.22,24.45,18.10,722.00,"11,387,529",69.00,50.00,"626,545.00",517.00,0.00,2.00,70.00,27.00,"483,191","61,349",75,,Australia,75.99,,37,,,8956447,11.3,59,50,18,-,49,0.50,-,7,-,-,2,1,-,93,-,43
Australia,27.00,27.00,159.00,62.00,124,165.00,"25,169,085","30,100,000","23,774.75","22,426,855.00",-,"6,079,466.00",13.40,9.50,22.90,"305,233.64",15.80,49.70,5.50,"178,740.00",21.89,"3,178.00",-,-,"2,019.00","26,482.0","62,632.00",525.57,4.56,"140,000.00","48,800.00","218,000.00","4,880.00","1,450.50","1,625.60",207.30,717.32,100.27,6.00,"4,190.00","32,181,078",138.00,122.00,"983,827.00",583.00,14.70,67.00,"1,842.00",433.00,"913,791","92,216",718,,Austria,93.12,,37,,,9857173,40.8,77,70,22,55,71,0.40,0.85,17,427,23,11,14,4,100,23,16
Austria,11.00,11.00,-,40.00,113,114.00,"8,605,232","11,400,000","8,938.40","7,179,871.00","78,231","1,594,270.00",6.30,3.40,6.00,"62,874.72",4.20,7.00,5.20,"40,670.00",5.77,-,"86,985.75","793,380,759.41","11,280.00","42,408.1",-,171.28,9.94,"19,100.00","7,600.00","21,500.00","2,288.82",221.10,451.80,105.80,504.52,15.13,2.10,579.00,"3,945,454",77.00,38.00,"98,060.00",175.00,2.94,57.00,236.00,75.00,"863,593","59,662",300,,Bangladesh,48.06,,35,,,2863935,17.4,72,61,22,29,67,0.00,0.58,15,1510,10,6,9,1,87,7,35
Bangladesh,10.00,9.00,234.00,9.00,41,64.00,"84,178,258","188,000,000","172,937.54","47,895,345.00","17,997,712",-,15.90,7.20,19.10,-,41.90,16.10,14.50,"51,100.00",18.43,-,"1,204.92","209,128,807.01",701.00,"2,046.4",372.00,257.23,17.64,"12,400.00",-,"2,800.00",963.18,43.50,336.90,-,44.60,3.24,6.60,202.00,"15,877,138",78.00,7.00,"236,095.00",367.00,1.00,-,42.53,19.23,-,"1,955",174,,Belgium,105.21,,36,,,12322928,8.3,46,39,12,-,48,0.20,-,2,-,-,0,1,-,33,-,81
Belgium,22.00,22.00,255.00,51.00,123,139.00,"11,199,793","12,200,000","11,738.76","9,465,009.00","128,193","1,862,835.00",6.70,4.50,9.40,"59,792.85",8.50,17.40,1.20,"70,460.00",8.95,"1,471.00","109,190.30","1,281,758,726.03","22,224.00","98,592.3",-,200.62,7.18,"27,200.00","11,900.00","57,700.00","2,216.62",187.60,468.80,104.40,"1,527.15",13.84,2.20,706.00,"5,113,276",17.00,41.00,"533,481.00",252.00,1.00,-,25.00,9.00,"299,065","27,473",188,,Brazil,180,,38,,,4225955,17.2,54,59,20,3,73,0.30,0.58,16,186,9,9,6,1,67,7,8
Brazil,11.00,11.00,117.00,40.00,260,222.00,"182,000,000","216,000,000","193,257.90","125,000,000.00","-5,109,263","71,919,746.00",104.30,24.70,166.10,"196,147.17",151.20,96.20,14.50,"534,980.00",129.41,-,"833,067.22","176,609,084,345.89","6,160.00","32,313.2","15,362.00","1,779.47",75.56,"55,900.00","37,100.00","124,000.00","8,490.00","1,202.50","1,908.40",537.90,539.76,35.88,26.50,"2,880.00","311,959,929","2,890.00",140.00,"1,295,127.00","2,443.00",24.69,83.00,785.00,331.00,"5,898,889","629,904",329,,Canada,201.32,,35,,,36251756,38.6,69,66,22,68,59,1.10,1.2,12,689,17,7,3,3,83,15,65
Bulgaria,35.00,29.00,216.00,33.00,289,91.00,"5,469,340","7,980,000","6,740.79","4,759,966.00","98,252","1,819,618.00",2.80,1.00,2.70,"12,345.52",3.50,9.30,1.60,"12,150.00",2.29,"1,004.00","32,966.31","222,776,070.46","3,351.00","8,690.5",506.00,116.17,12.84,"7,100.00",-,"5,030.00",375.17,-,-,4.96,47.05,4.77,3.00,83.00,"2,209,129",140.00,5.00,"32,368.00",90.00,1.00,-,1.00,0.00,"102,157","10,059",23,,Chile,279.14,,38,,,1844849,10.4,73,54,18,-,51,0.00,-,6,-,-,1,2,-,67,-,37
Canada,24.00,24.00,90.00,85.00,104,267.00,"37,637,661","37,400,000","39,543.72","32,270,235.00","337,368","8,147,279.00",27.30,12.70,32.30,"314,109.18",33.80,84.60,3.40,"288,740.00",29.31,"5,837.00",-,-,"16,380.00","92,152.7","266,761.00",802.91,-,"204,000.00","57,500.00","470,000.00","5,832.26","1,006.70","2,080.80",244.20,"1,362.56",42.66,12.90,"3,910.00","65,165,027",62.00,350.00,"2,010,764.00",774.00,56.59,203.00,"1,981.00",629.00,"6,714,077","418,837",169,,China,194.79,,37,,,13909851,44.2,78,72,27,39,70,6.90,1.13,26,2890,51,23,15,6,67,55,8
Chile,17.00,15.00,214.00,46.00,90,348.00,"18,015,152","26,200,000","18,974.18","12,599,667.00","-164,114","6,507,022.00",7.80,9.00,13.60,"39,625.20",14.70,33.20,6.50,"50,030.00",13.00,"1,051.00","86,084.83","1,701,446,865.44",670.00,"4,288.3",-,225.61,-,"9,270.00","2,500.00","35,500.00",993.30,159.72,318.10,99.70,71.35,10.86,3.30,291.00,"4,653,615",36.00,19.00,"146,263.00",230.00,1.79,0.00,70.00,33.00,"618,087","57,621",356,,Colombia,157.29,,36,,,4111072,18.2,67,58,25,-,53,0.10,-,5,-,-,6,1,-,55,-,41
